time,abs_peak_current_ka,latitude,longitude
1717229349,3.0,60.5266,21.5877
1717229349,8.0,61.9994,21.7065
1717229351,4.0,67.8247,24.7455
1717229351,6.0,67.8223,24.7423
1717229351,5.0,67.791,24.7021
1717229351,4.0,63.9114,23.9096
1717229351,9.0,64.0022,23.6783
1717229352,6.0,67.6858,24.8392
1717229352,6.0,63.3267,24.5393
1717229352,4.0,63.364,24.5303
1717229352,6.0,63.2242,24.7632
1717229352,8.0,63.3432,24.3642
1717229352,5.0,63.2006,24.7733
1717229352,9.0,63.4553,24.5327
1717229352,7.0,63.3182,24.4893
1717229352,7.0,63.358,24.6605
1717229352,4.0,63.3701,24.7701
1717229352,2.0,63.2621,24.2945
1717229352,5.0,60.8045,25.7817
1717229352,15.0,60.8088,25.7702
1717229352,5.0,60.8077,25.783
1717229352,4.0,60.848,25.8339
1717229353,5.0,60.8953,25.4514
1717229353,2.0,60.7392,26.1657
1717229353,3.0,61.0715,26.7958
1717229353,3.0,66.0298,25.7111
1717229356,4.0,63.4266,23.7782
1717229356,7.0,63.3615,23.6514
1717229357,8.0,63.4154,23.9261
1717229357,5.0,63.4147,23.9307
1717229357,7.0,63.4132,23.9207
1717229357,10.0,63.403,23.9393
1717229357,6.0,60.9779,26.8327
1717229358,9.0,62.7461,31.4103
1717229361,2.0,68.0421,28.3533
1717229362,3.0,61.0909,26.7551
1717229362,5.0,61.0922,26.5499
1717229363,6.0,61.9543,21.5059
1717229363,5.0,63.4462,24.001
1717229363,6.0,61.9548,21.4947
1717229363,10.0,61.9663,21.5265
1717229363,4.0,63.3219,24.3274
1717229363,4.0,63.3233,24.3476
1717229366,3.0,63.715,24.739
1717229366,9.0,68.1702,28.7809
1717229366,8.0,68.1855,28.7008
1717229366,3.0,68.1468,28.5665
1717229367,3.0,68.078,28.4122
1717229367,4.0,68.4507,27.1095
1717229369,3.0,61.0787,27.5526
1717229369,31.0,61.1035,27.6311
1717229369,4.0,61.1031,27.6914
1717229369,3.0,61.0891,27.5419
1717229369,20.0,61.0165,26.8725
1717229369,14.0,61.0036,26.8056
1717229369,12.0,60.9836,26.8312
1717229369,8.0,60.9876,26.8416
1717229369,4.0,63.4281,23.9011
1717229371,20.0,60.6423,21.9865
1717229371,11.0,60.6121,21.9238
1717229373,3.0,61.0938,26.7501
1717229373,4.0,60.9944,26.6159
1717229373,11.0,61.0671,26.716
1717229374,5.0,61.4558,21.88
1717229374,4.0,61.3206,22.0804
1717229374,4.0,61.3022,22.381
1717229374,4.0,61.3143,22.2661
1717229374,2.0,61.3078,22.1795
1717229374,3.0,61.2395,22.4348
1717229374,6.0,61.2901,22.1795
1717229374,3.0,60.5562,21.4451
1717229375,8.0,63.4913,23.9967
1717229376,5.0,67.6796,24.8482
1717229376,4.0,67.6897,24.8393
1717229376,4.0,67.693,24.8689
1717229376,4.0,67.6878,25.444
1717229376,7.0,64.8088,28.4916
1717229377,4.0,61.0724,26.7504
1717229380,4.0,62.0216,22.4576
1717229383,8.0,63.5163,23.9416
1717229383,9.0,63.5168,23.7858
1717229383,4.0,63.6127,23.5022
1717229383,4.0,63.511,23.8404
1717229383,7.0,63.5162,23.9386
1717229383,4.0,63.5213,23.8779
1717229385,3.0,61.5542,22.5999
1717229385,2.0,61.6067,22.4663
1717229385,2.0,61.574,22.5183
1717229385,4.0,61.5992,22.3777
1717229385,3.0,61.7599,22.5488
1717229385,13.0,61.54,22.4944
1717229386,4.0,66.9147,24.1117
1717229386,3.0,63.8126,24.7354
1717229387,5.0,61.0094,26.7506
1717229387,6.0,61.0108,26.7356
1717229387,20.0,61.0104,26.7368
1717229387,15.0,61.0134,26.7325
1717229387,10.0,61.0128,26.7323
1717229387,5.0,61.0104,26.7385
1717229388,5.0,61.0309,26.5227
1717229388,8.0,61.0265,26.4666
1717229389,6.0,63.9406,25.3389
1717229389,3.0,63.9999,25.4419
1717229389,3.0,63.9972,25.4276
1717229389,24.0,67.7336,27.8497
1717229391,11.0,61.0077,27.7253
1717229391,12.0,61.0409,27.6315
1717229391,7.0,61.0261,27.6576
1717229391,3.0,61.0319,27.6908
1717229392,2.0,61.1299,26.8654
1717229394,4.0,60.4106,23.4938
1717229396,10.0,61.0754,26.6764
1717229396,3.0,61.0064,26.5602
1717229396,3.0,61.0445,21.8923
1717229396,6.0,61.0536,21.9415
1717229396,5.0,61.0355,21.6651
1717229396,12.0,61.0251,21.621
1717229397,6.0,63.4193,23.993
1717229399,5.0,60.9306,26.2807
1717229399,7.0,60.9425,26.2928
1717229399,2.0,60.9029,26.2165
1717229399,3.0,60.7979,26.2246
1717229399,5.0,60.93,26.2817
1717229399,16.0,60.9382,26.2915
1717229399,4.0,60.96,26.3817
1717229399,5.0,60.9176,26.4096
1717229399,3.0,60.9386,26.2819
1717229401,7.0,60.8434,22.1724
1717229402,5.0,63.144,24.234
1717229402,5.0,63.1404,24.276
1717229402,7.0,63.2145,24.0835
1717229402,4.0,63.1198,24.1784
1717229404,8.0,61.0856,26.8095
1717229404,3.0,61.0747,26.8213
1717229404,5.0,61.245,26.4919
1717229404,5.0,63.4291,23.9029
1717229405,5.0,63.8162,24.8047
1717229406,3.0,63.9632,24.4481
1717229406,8.0,63.4355,23.8741
1717229406,6.0,63.4342,23.8367
1717229407,5.0,63.4347,23.8331
1717229407,4.0,67.9155,28.6479
1717229408,19.0,60.9635,27.705
1717229408,5.0,60.964,27.7043
1717229409,18.0,61.8859,22.7722
1717229409,5.0,61.89,22.5651
1717229409,6.0,61.9454,22.5332
1717229409,9.0,61.9876,22.5089
1717229409,6.0,61.8912,22.7652
1717229410,2.0,61.1734,27.0093
1717229411,8.0,64.0725,24.4781
1717229411,19.0,64.0764,24.6451
1717229411,4.0,64.0796,24.6539
1717229411,5.0,64.0907,24.6529
1717229411,5.0,63.9351,23.9158
1717229411,4.0,60.7218,25.7956
1717229411,4.0,60.7843,25.8078
1717229411,4.0,60.8223,25.8505
1717229411,7.0,60.7954,25.7966
1717229411,5.0,63.8714,24.103
1717229413,3.0,61.4455,21.9926
1717229413,10.0,61.4406,22.0512
1717229413,3.0,61.4769,21.7357
1717229413,3.0,61.4268,22.1654
1717229413,10.0,60.9869,26.8357
1717229413,6.0,60.9826,26.8317
1717229413,6.0,61.0796,26.9135
1717229414,24.0,61.9753,21.6824
1717229414,10.0,61.9764,21.6817
1717229414,5.0,62.9625,23.9487
1717229415,3.0,68.0858,28.6727
1717229416,4.0,63.7152,25.5106
1717229416,10.0,63.7309,25.5274
1717229416,3.0,63.8019,25.6806
1717229416,3.0,63.7036,25.526
1717229416,3.0,63.8053,25.326
1717229416,4.0,63.7642,25.5128
1717229416,3.0,63.4707,24.0046
1717229416,31.0,63.7322,25.6046
1717229416,9.0,63.7096,25.5918
1717229416,3.0,63.8065,25.3024
1717229416,5.0,63.4663,23.782
1717229416,12.0,64.9032,29.3752
1717229417,8.0,64.6881,27.0828
1717229417,4.0,67.686,23.8743
1717229417,3.0,60.5568,25.4021
1717229417,6.0,60.4528,25.3942
1717229417,6.0,60.3672,25.3347
1717229417,3.0,60.5185,25.8318
1717229417,4.0,60.479,25.3338
1717229417,27.0,60.5172,25.3073
1717229417,3.0,60.3514,25.2506
